Table: aud_busdata
RecordCount: -1
------------------------------------------------------------
FieldName	Type	Size	Required	AllowZeroLength	DefaultValue
bdt_id	Long	4	True	False	
bdt_username	Text	255	True	True	
bdt_dtg	Date/Time	8	True	False	
bdt_action	Text	255	True	True	
bdt_formname	Text	255	True	True	
bdt_controlname	Text	255	True	True	
bdt_fieldname	Text	255	True	True	
bdt_recordid	Text	255	True	True	
btd_oldvalue	Text	255	True	True	
btd_newvalue	Text	255	True	True	
bdt_empname	Text	255	True	True	
bdt_empdesig	Text	255	True	True	
