Table: aud_revdata
RecordCount: -1
------------------------------------------------------------
FieldName	Type	Size	Required	AllowZeroLength	DefaultValue
rvd_id	Long	4	True	False	
rvd_rev_id	Long	4	True	False	
rvd_table	Text	255	True	True	
rvd_rowid	Text	255	True	True	
rvd_attrib	Text	255	True	True	
rvd_oldvalue	Text	255	False	True	
rvd_newvalue	Text	255	False	True	
rvd_datatype	Text	255	True	True	
rvd_type	Integer	2	True	False	
rvd_conversion	Text	1	False	True	
rvd_colname	Text	255	False	True	
rvd_alias	Text	255	False	True	
