Table: aud_revs
RecordCount: -1
------------------------------------------------------------
FieldName	Type	Size	Required	AllowZeroLength	DefaultValue
rev_id	Long	4	True	False	
rev_obj	Text	255	True	True	
rev_releasedtg	Date/Time	8	False	False	
rev_closedtg	Date/Time	8	False	False	
rev_objid	Text	255	True	True	
rev_reason	Text	255	False	True	
rev_status	Text	255	True	True	
rev_unt_id	Long	4	True	False	
rev_date	Date/Time	8	True	False	
rev_type	Integer	2	True	False	
rev_intunt_id	Long	4	True	False	
rev_ref	Text	255	False	True	
rev_objext	Text	255	False	True	
