Table: cen_accounts1
RecordCount: 35
------------------------------------------------------------
FieldName	Type	Size	Required	AllowZeroLength	DefaultValue
acc_id	Long	4	False	False	
acc_unt_id	Long	4	False	False	
acc_level	Integer	2	False	False	
acc_type	Text	255	False	True	
acc_reportlevel	Long	4	False	False	
acc_username	Text	255	False	True	
acc_pass	Text	255	False	True	
acc_startdt	Date/Time	8	False	False	
acc_status	Text	255	False	True	
acc_enddt	Date/Time	8	False	False	
acc_name	Text	255	False	True	
acc_title	Text	255	False	True	
acc_rank	Text	255	False	True	
acc_desig	Text	255	False	True	
acc_desigshort	Text	255	False	True	
acc_desigtype	Text	10	False	True	
acc_lowerm	Long	4	False	False	
acc_upperm	Long	4	False	False	
acc_access	Text	255	False	True	
acc_lowers	Long	4	False	False	
acc_uppers	Long	4	False	False	
acc_untname	Text	255	False	True	
acc_untnamesh	Text	255	False	True	
acc_unttype	Text	255	False	True	
acc_auth	Text	255	False	True	
acc_untarea	Text	255	False	True	
