Table: hr_applicants
RecordCount: -1
------------------------------------------------------------
FieldName	Type	Size	Required	AllowZeroLength	DefaultValue
apl_id	Long	4	True	False	
apl_cnic	Text	15	True	True	
apl_name	Text	255	True	True	
apl_discip	Text	255	True	True	
apl_qualif	Integer	2	True	False	
apl_spec	Text	255	False	True	
apl_paddress	Text	255	True	True	
apl_dob	Date/Time	8	True	False	
apl_dtg	Date/Time	8	True	False	
apl_marital	Text	255	True	True	
apl_ntnlty	Text	255	True	True	
apl_pob	Text	255	True	True	
apl_taddress	Text	255	True	True	
apl_mobile	Text	13	True	True	
apl_landline	Text	13	False	True	
apl_gender	Text	255	True	True	
apl_mobile2	Text	255	False	True	
apl_rank	Text	255	False	True	
apl_status	Text	255	True	True	
apl_remarks	Text	255	False	True	
apl_appliedfor	Text	255	False	True	
apl_currentsal	Long	4	False	False	
apl_expectedsal	Long	4	False	False	
apl_experience	Decimal	16	True	False	
apl_expjoindt	Date/Time	8	False	False	
apl_email	Text	255	True	True	
apl_father	Text	255	True	True	
apl_unt_id	Long	4	False	False	
