Table: hr_emps
RecordCount: -1
------------------------------------------------------------
FieldName	Type	Size	Required	AllowZeroLength	DefaultValue
emp_id	Text	13	True	True	
emp_cnic	Text	15	True	True	
emp_name	Text	255	True	True	
emp_joindt	Date/Time	8	True	False	
emp_locked	Text	5	True	True	
emp_rank	Text	255	False	True	
emp_status	Text	255	True	True	
emp_remarks	Text	255	False	True	
emp_unt_id	Long	4	True	False	
emp_hed_id	Long	4	False	False	
emp_lastdt	Date/Time	8	False	False	
emp_title	Text	255	False	True	
emp_photodest	Text	255	False	True	
emp_cleared	Text	5	False	True	
