Table: hr_emps2
RecordCount: 192
------------------------------------------------------------
FieldName	Type	Size	Required	AllowZeroLength	DefaultValue
emp_id	Text	13	False	True	
emp_cnic	Text	15	False	True	
emp_name	Text	255	False	True	
emp_joindt	Date/Time	8	False	False	
emp_locked	Text	5	False	True	
emp_rank	Text	255	False	True	
emp_status	Text	255	False	True	
emp_remarks	Text	255	False	True	
emp_unt_id	Long	4	False	False	
emp_hed_id	Long	4	False	False	
emp_lastdt	Date/Time	8	False	False	
emp_title	Text	255	False	True	
emp_photodest	Text	255	False	True	
emp_cleared	Text	5	False	True	
