Table: hr_empsextb1
RecordCount: 181
------------------------------------------------------------
FieldName	Type	Size	Required	AllowZeroLength	DefaultValue
empextb_emp_id	Text	13	False	True	
emp_nokname	Text	255	False	True	
emp_nokrelation	Text	255	False	True	
emp_nokcnic	Text	15	False	True	
emp_emername	Text	255	False	True	
emp_emerrelation	Text	255	False	True	
emp_emermobile	Text	255	False	True	
emp_idmark	Text	255	False	True	
emp_height	Decimal	16	False	False	
emp_caste	Text	255	False	True	
emp_religion	Text	255	False	True	
emp_sect	Text	255	False	True	
emp_police	Text	255	False	True	
emp_political	Text	255	False	True	
