150	DC Wire	9	350000	2	Other
2273	Power supply	2	200000	2	Parts
4180	Mylar	15	350000	2	Other
2409	Keyboard	2	200000	7	Parts
7710	Showers	3	160000	3	Other
10036	Scale	42	350000	2	Other
5751	Rope	8	350000	2	Other
2756	Bolts and Nuts for launcher 2, M42, M30, M18, M16, M12, M8	25	350000	7	Parts
701	SS Nuts and Bolts (packet)	30	350000	7	Other
2718	PLA Material for 3D Printer	1	300000	2	Chemicals
5734	4.6 ft. Brass rod 7mm	6	350000	2	Fabrication
8346	Diode 1N 4007	19	450000	2	Other
1640	30KW DC Power Supply	1	300000	7	Machinery / Equipment
2515	Finishing operation and paint of pressure hull	4	300000	7	Parts
8585	54LS08 Ics	4	200000	2	Parts
741	Tweezer Set	70	350000	7	Other
7959	‘EL90’ 90º elevations angle	3	350000	7	Parts
2514	Installlation of vent for pressurised air filling for pressure testing of pressure hull	3	300000	7	Parts
2513	Machining, Fabrication and Fitting of all stiffiners and end bulk head of pressure hull	2	300000	7	Machinery / Equipment
7274	Spiral sleeve 8mm x 20ft	30	350000	7	Other
2609	Mechanical Work Bench	1	300000	7	Furniture
2512	Mild Steel Pressure Hull (Length 1000mm, Dia 500mm, Thickness 3mm) with internal stiffiner and both end bolted bulk head	1	300000	7	Machinery / Equipment
6493	Copper/Metal Plate PCB (0.02 inch thickness)	43	350000	2	Fabrication
6494	SMA connectors (50 Ohms)	44	350000	2	Parts
6495	Acrylic Sheet (2.5 inch dia, custom made) (3 x 2.5 inch dia)	45	350000	2	Fabrication
6351	Posters printing for INTELL	16	350000	3	Other
4790	Rasberry Pi based Target Demonstration equipment	22	350000	2	Other
2536	ROV Test Platform Main Body Structure	1	300000	7	Machinery / Equipment
2537	Fastener Clamp Attachment	2	300000	7	Machinery / Equipment
4687	Connectors  	11	350000	2	Other
7751	Bat	1	160000	2	Other
153	Connector (Terminal Blocks)	12	350000	2	Other
5198	DIN rail	2	350000	2	Other
414	63A 3 pole	3	350000	2	Other
1219	Lubrication oil ISO VG-68	42	350000	2	Chemicals
1600	O- Lugs	34	350000	2	Other
2538	Cable Tray	3	300000	7	Machinery / Equipment
2624	Locker	14	300000	7	Furniture
2629	Sofa Set	16	300000	7	Furniture
2634	Conference Table	17	300000	7	Furniture
9706	Bearing	27	350000	2	Other
2618	Office Chairs	9	300000	7	Furniture
2615	Cabinets	6	300000	7	Furniture
2617	Side Table	8	300000	7	Furniture
2619	First Aid Box	10	300000	7	Furniture
2620	Display Cupboard	11	300000	7	Furniture
2621	Book Shelf	12	300000	7	Furniture
2623	Reception Table	13	300000	7	Furniture
2616	Table	7	300000	7	Furniture
2637	Inverter Split Air Conditioner - 02 Ton	1	300000	7	Machinery / Equipment
9764	RGB LED PWM Fan	32	350000	2	Other
2645	Ceiling Fan	3	300000	7	Machinery / Equipment
2649	Exhaust Fan 36''	5	300000	7	Machinery / Equipment
2638	Inverter Floor Standing Air Conditioner - 04 Ton	2	300000	7	Office Equipment
2648	Exhaust Fan 10''	4	300000	7	Machinery / Equipment
10047	Battery 9V	53	350000	2	Other
10186	UBEC CDI - 6V/5A regulated	6	350000	2	Other
10187	Wiring	7	350000	2	Other
10188	Assorted Connectors	8	350000	2	Other
