130	1	Functional replacement of Antenna & Microwave unit- power supply 1 (E104) - ELINT. Input: 220 VAC. Output: DC +12V/13.35A, +5V/2.5A, -5V/2.5A, +15V/1A, +24V/3A	550000	1	num	143	Functional replacement of Antenna & Microwave unit- power supply 1 (E104) - ELINT. Input: 220 VAC. Output: DC +12V/13.35A, +5V/2.5A, -5V/2.5A, +15V/1A, +24V/3A	95
130	2	Functional replacement of Antenna & Microwave unit- power supply 1 (E105) - ELINT. Input: 220 VAC. Output: DC +12V/7A, +5V/2A, -5V/4.5A, +5V/5A (for digital circuits), -15V/1.25A	550000	1	num	144	Functional replacement of Antenna & Microwave unit- power supply 1 (E105) - ELINT. Input: 220 VAC. Output: DC +12V/7A, +5V/2A, -5V/4.5A, +5V/5A (for digital circuits), -15V/1.25A	98
131	1	RF Generator & Accessories Rent (153 days) 1st Aug 2021 to 31st Dec 2021	229500	1	num	145	RF Generator & Accessories Rent (153 days) 1st Aug 2021 to 31st Dec 2021	102
138	1	Lab wall demolishing and reconstruction for lab extension	260200	1	num	177	Lab wall demolishing and reconstruction for lab extension	107
138	2	False sealing and insulation under fiber roof of lab extension	95000	1	num	178	False sealing and insulation under fiber roof of lab extension	109
138	3	Brick missinonary work, plaster and paint work on new VFD work area	178240	1	num	179	Brick missinonary work, plaster and paint work on new VFD work area	111
138	4	Window, Door and cargo Door on VFD area	220000	1	num	180	Window, Door and cargo Door on VFD area	112
138	5	Electrical works, AC reinstallation and Associated activities	92300	1	num	181	Electrical works, AC reinstallation and Associated activities	113
138	6	workstation for 10 persons	164460	1	num	182	workstation for 10 persons	114
138	7	Worktable for VFD area with drawers and cabinets	65200	1	num	183	Worktable for VFD area with drawers and cabinets	116
138	8	Door, door handle and door closer.	68117	1	num	184	Door, door handle and door closer.	117
138	9	Miscellaneous Activities	0	1	num	185	Miscellaneous Activities	118
142	2	24V Power supply for VFD panel	2500	2	num	227	24V Power supply for VFD panel	121
142	3	Wire roll (.75 sq.mm)	3300	1	num	228	Wire roll (.75 sq.mm)	122
142	4	Casing of coating and machining	10000	2	num	229	Casing of coating and machining	123
142	5	Hour meter	3250	1	num	230	Hour meter	124
142	6	Mounting hinges	250	10	num	231	Mounting hinges	125
142	7	Lug Round 10-8	52	30	num	232	Lug Round 10-8	126
142	8	Lug Round 25-8	78	30	num	233	Lug Round 25-8	127
142	9	Heat shrink sleeve Misc. Size RED + Black (ft)	53	40	ft	234	Heat shrink sleeve Misc. Size RED + Black (ft)	128
139	1	Lab wall demolishing and reconstruction for lab extension	180000	1	num	186	Lab wall demolishing and reconstruction for lab extension	107
139	2	False sealing and insulation under fiber roof of lab extension	75000	1	num	187	False sealing and insulation under fiber roof of lab extension	109
140	1	Lab wall demolishing and reconstruction for lab extension	225000	1	num	195	Lab wall demolishing and reconstruction for lab extension	107
139	4	Window, Door and cargo Door on VFD area	190000	1	num	189	Window, Door and cargo Door on VFD area	112
139	5	Electrical works, AC reinstallation and Associated activities	70000	1	num	190	Electrical works, AC reinstallation and Associated activities	113
139	6	workstation for 10 persons	135000	1	num	191	workstation for 10 persons	114
139	7	Worktable for VFD area with drawers and cabinets	55000	1	num	192	Worktable for VFD area with drawers and cabinets	116
139	8	Door, door handle and door closer.	58000	1	num	193	Door, door handle and door closer.	117
139	9	Miscellaneous Activities	275000	1	num	194	Miscellaneous Activities	118
139	3	Brick missinonary work, plaster and paint work on new VFD work area	170000	1	num	188	Brick missinonary work, plaster and paint work on new VFD work area	111
140	2	False sealing and insulation under fiber roof of lab extension	72000	1	num	196	False sealing and insulation under fiber roof of lab extension	109
140	3	Brick missinonary work, plaster and paint work on new VFD work area	175000	1	num	197	Brick missinonary work, plaster and paint work on new VFD work area	111
140	4	Window, Door and cargo Door on VFD area	200000	1	num	198	Window, Door and cargo Door on VFD area	112
140	5	Electrical works, AC reinstallation and Associated activities	73000	1	num	199	Electrical works, AC reinstallation and Associated activities	113
140	6	workstation for 10 persons	145000	1	num	200	workstation for 10 persons	114
142	10	Gas Kit	15	200	ft	235	Gas Kit	129
142	11	Screws for casing plate mounting and connector mounting	16	600	num	236	Screws for casing plate mounting and connector mounting	130
142	12	Wire Mesh (Roll)	2500	2	num	237	Wire Mesh (Roll)	131
142	13	U and I type Lugs (packet)	200	6	num	238	U and I type Lugs (packet)	132
142	14	Mil Connector	2000	9	num	239	Mil Connector	133
142	15	Cable Tie (Packet)	300	4	num	240	Cable Tie (Packet)	134
142	16	Soldering wire	1000	2	num	241	Soldering wire	135
142	17	GX 16 (2 & 3 Pins) Connector	250	4	num	242	GX 16 (2 & 3 Pins) Connector	136
142	18	Glands	185	6	num	243	Glands	137
142	19	Allen Key Screws	65	20	num	244	Allen Key Screws	138
142	1	Control box	6500	6	num	226	Control box	119
142	20	Tellies (multiple)	3750	2	num	245	Tellies (multiple)	139
142	21	GX 16 (2 & 5 Pins) Connector	250	6	num	246	GX 16 (2 & 5 Pins) Connector	140
142	22	Selector 3 & 2 way	1280	6	num	247	Selector 3 & 2 way	141
144	2	Small scale platform machining	35000	1	num	271	Small scale platform machining	143
144	3	Electric Screwdriver (Ingco)	20881	1	num	272	Electric Screwdriver (Ingco)	144
144	4	Tapping set (Ingco)	5750	1	num	273	Tapping set (Ingco)	145
144	5	UPS (Rating: 3.7KVA)	205500	1	num	274	UPS (Rating: 3.7KVA)	146
140	7	Worktable for VFD area with drawers and cabinets	60000	1	num	201	Worktable for VFD area with drawers and cabinets	116
140	8	Door, door handle and door closer.	62000	1	num	202	Door, door handle and door closer.	117
141	20	Tellies (multiple)	3450	2	num	223	Tellies (multiple)	139
140	9	Miscellaneous Activities	300000	1	num	203	Miscellaneous Activities	118
141	1	Control box	6291	6	num	204	Control box	119
141	2	24V Power supply for VFD panel	2300	2	num	205	24V Power supply for VFD panel	121
141	3	Wire roll (.75 sq.mm)	2875	1	num	206	Wire roll (.75 sq.mm)	122
141	4	Casing of coating and machining	9200	2	num	207	Casing of coating and machining	123
141	5	Hour meter	2875	1	num	208	Hour meter	124
141	6	Mounting hinges	230	10	num	209	Mounting hinges	125
141	21	GX 16 (2 & 5 Pins) Connector	230	6	num	224	GX 16 (2 & 5 Pins) Connector	140
141	7	Lug Round 10-8	46	30	num	210	Lug Round 10-8	126
141	8	Lug Round 25-8	69	30	num	211	Lug Round 25-8	127
141	9	Heat shrink sleeve Misc. Size RED + Black (ft)	46	40	ft	212	Heat shrink sleeve Misc. Size RED + Black (ft)	128
141	10	Gas Kit	12	200	ft	213	Gas Kit	129
141	11	Screws for casing plate mounting and connector mounting	12	600	num	214	Screws for casing plate mounting and connector mounting	130
141	12	Wire Mesh (Roll)	2300	2	num	215	Wire Mesh (Roll)	131
141	13	U and I type Lugs (packet)	173	6	num	216	U and I type Lugs (packet)	132
141	14	Mil Connector	1840	9	num	217	Mil Connector	133
141	15	Cable Tie (Packet)	288	4	num	218	Cable Tie (Packet)	134
141	16	Soldering wire	920	2	num	219	Soldering wire	135
141	17	GX 16 (2 & 3 Pins) Connector	230	4	num	220	GX 16 (2 & 3 Pins) Connector	136
141	18	Glands	173	6	num	221	Glands	137
141	19	Allen Key Screws	58	20	num	222	Allen Key Screws	138
141	22	Selector 3 & 2 way	1150	6	num	225	Selector 3 & 2 way	141
143	19	Allen Key Screws	72	20	num	266	Allen Key Screws	138
143	1	Control box	6800	6	num	248	Control box	119
143	2	24V Power supply for VFD panel	2700	2	num	249	24V Power supply for VFD panel	121
143	3	Wire roll (.75 sq.mm)	3500	1	num	250	Wire roll (.75 sq.mm)	122
143	4	Casing of coating and machining	11500	2	num	251	Casing of coating and machining	123
143	5	Hour meter	3400	1	num	252	Hour meter	124
143	6	Mounting hinges	280	10	num	253	Mounting hinges	125
143	7	Lug Round 10-8	55	30	num	254	Lug Round 10-8	126
143	8	Lug Round 25-8	85	30	num	255	Lug Round 25-8	127
143	9	Heat shrink sleeve Misc. Size RED + Black (ft)	58	40	ft	256	Heat shrink sleeve Misc. Size RED + Black (ft)	128
143	10	Gas Kit	18	200	ft	257	Gas Kit	129
143	11	Screws for casing plate mounting and connector mounting	20	600	num	258	Screws for casing plate mounting and connector mounting	130
143	12	Wire Mesh (Roll)	2950	2	num	259	Wire Mesh (Roll)	131
143	13	U and I type Lugs (packet)	220	6	num	260	U and I type Lugs (packet)	132
143	14	Mil Connector	2250	9	num	261	Mil Connector	133
143	15	Cable Tie (Packet)	340	4	num	262	Cable Tie (Packet)	134
143	16	Soldering wire	1200	2	num	263	Soldering wire	135
143	17	GX 16 (2 & 3 Pins) Connector	280	4	num	264	GX 16 (2 & 3 Pins) Connector	136
144	6	Battery (48V 200Amp)	25300	4	num	275	Battery (48V 200Amp)	147
143	20	Tellies (multiple)	4000	2	num	267	Tellies (multiple)	139
143	21	GX 16 (2 & 5 Pins) Connector	280	6	num	268	GX 16 (2 & 5 Pins) Connector	140
143	22	Selector 3 & 2 way	1450	6	num	269	Selector 3 & 2 way	141
143	18	Glands	190	6	num	265	Glands	137
144	7	Square Channel (1"x1"x360mm)	2300	15	num	276	Square Channel (1"x1"x360mm)	148
144	8	Ac Wire	2875	1	num	277	Ac Wire	149
144	9	DC Wire	2875	1	num	278	DC Wire	150
144	10	Filment (PLA)	4025	3	num	279	Filment (PLA)	151
144	11	Connectors (GX-16)	173	15	num	280	Connectors (GX-16)	152
144	12	Connector (Terminal Blocks)	1150	2	num	281	Connector (Terminal Blocks)	153
144	13	PCB Boards (FR4, Double sided)	345	10	num	282	PCB Boards (FR4, Double sided)	154
144	14	Spiral Sleeve (10m , 8mm)	1725	1	num	283	Spiral Sleeve (10m , 8mm)	155
144	15	Raceway (wire Channel	1438	1	num	284	Raceway (wire Channel	156
144	16	Nuts + Bolts + Washer (M8, M6, M5, M4, M3, Box)	1150	5	num	285	Nuts + Bolts + Washer (M8, M6, M5, M4, M3, Box)	157
144	17	Rivets (M3, M4, Box)	3450	2	num	286	Rivets (M3, M4, Box)	158
144	18	Heat shrinks (assortment)	1150	2	num	287	Heat shrinks (assortment)	159
144	19	Sheet metal (clamp fabrication)	1150	5	num	288	Sheet metal (clamp fabrication)	160
144	20	Soldering Iron Tips (Kada 852AD+)	173	5	num	289	Soldering Iron Tips (Kada 852AD+)	162
144	21	Solder Wire (480grams)	863	4	num	290	Solder Wire (480grams)	163
144	22	Syring/Dropper	58	10	num	291	Syring/Dropper	164
144	23	Spray paint	345	2	num	292	Spray paint	165
144	24	Processor (AMD Ryzen 5 5600X)	69000	1	num	293	Processor (AMD Ryzen 5 5600X)	166
144	25	Motherboard (ASUS Strix B550A)	46000	1	num	294	Motherboard (ASUS Strix B550A)	168
144	26	RAM Corsair Vengeance DDR4 16GB 3600	25300	1	num	295	RAM Corsair Vengeance DDR4 16GB 3600	169
144	27	Graphics Card Gigabyte GeForce GTX1650	86250	1	num	296	Graphics Card Gigabyte GeForce GTX1650	170
144	1	Full scale platform machining	70000	1	num	270	Full scale platform machining	142
144	28	SSD Samsung 500GB 980 NVMe M2 SSD	17250	1	num	297	SSD Samsung 500GB 980 NVMe M2 SSD	171
144	29	1TB Seagate Barracuda HDD	11500	1	num	298	1TB Seagate Barracuda HDD	172
144	30	Cooler Corsair H60 Liquid CPU Cooler	17250	1	num	299	Cooler Corsair H60 Liquid CPU Cooler	173
144	31	Power Supply Corsair TX650 650W 80Plus	23000	1	num	300	Power Supply Corsair TX650 650W 80Plus	174
144	32	PC Case Cooler Master Masterbox Q500L	11500	1	num	301	PC Case Cooler Master Masterbox Q500L	175
144	33	Case fans (firebase)	6900	1	num	302	Case fans (firebase)	176
144	34	Keyboard & Mouse Logitech MK345	5750	1	num	303	Keyboard & Mouse Logitech MK345	177
185	1	Lathe Machine tools	4500	10	num	696	Lathe Machine tools	321
144	35	Wi-Fi Card TPLink TL WN881ND	3450	1	num	304	Wi-Fi Card TPLink TL WN881ND	178
144	36	Monitor AOC 22B2HM 21.5"	34500	1	num	305	Monitor AOC 22B2HM 21.5"	179
144	37	Limit switch	805	2	num	306	Limit switch	180
144	38	Light gate/speed sensor	7475	4	num	307	Light gate/speed sensor	181
144	39	PLC Analog I/O Expansion Module	69000	1	num	308	PLC Analog I/O Expansion Module	182
144	40	Wiring (control wires 1.5mm 3 core & 1.5mm 2 core)	4600	4	num	309	Wiring (control wires 1.5mm 3 core & 1.5mm 2 core)	183
144	41	Mesh 30mm/40mm	3450	2	num	310	Mesh 30mm/40mm	184
144	42	Connectors (3 pin solenoid connector / MIL connectors)	805	11	num	311	Connectors (3 pin solenoid connector / MIL connectors)	187
144	43	I type Lugs	23	50	num	312	I type Lugs	188
144	44	Sheet metal plates	34500	1	num	313	Sheet metal plates	189
144	45	sheet metal machining	26450	1	num	314	sheet metal machining	190
144	46	braking assembly	15525	1	num	315	braking assembly	191
144	47	Safety rubber dampers	2875	6	num	316	Safety rubber dampers	194
144	48	safety straps	2300	25	num	317	safety straps	195
144	49	safety straps metal mount	1725	12	num	318	safety straps metal mount	198
145	1	Full scale platform machining	75000	1	num	319	Full scale platform machining	142
145	2	Small scale platform machining	40000	1	num	320	Small scale platform machining	143
145	3	Electric Screwdriver (Ingco)	25000	1	num	321	Electric Screwdriver (Ingco)	144
145	4	Tapping set (Ingco)	6000	1	num	322	Tapping set (Ingco)	145
145	5	UPS (Rating: 3.7KVA)	220000	1	num	323	UPS (Rating: 3.7KVA)	146
145	6	Battery (48V 200Amp)	26000	4	num	324	Battery (48V 200Amp)	147
145	7	Square Channel (1"x1"x360mm)	2500	15	num	325	Square Channel (1"x1"x360mm)	148
145	8	Ac Wire	3000	1	num	326	Ac Wire	149
145	9	DC Wire	3000	1	num	327	DC Wire	150
145	10	Filment (PLA)	5000	3	num	328	Filment (PLA)	151
145	11	Connectors (GX-16)	180	15	num	329	Connectors (GX-16)	152
145	12	Connector (Terminal Blocks)	1400	2	num	330	Connector (Terminal Blocks)	153
145	13	PCB Boards (FR4, Double sided)	370	10	num	331	PCB Boards (FR4, Double sided)	154
145	14	Spiral Sleeve (10m , 8mm)	2000	1	num	332	Spiral Sleeve (10m , 8mm)	155
145	15	Raceway (wire Channel	1600	1	num	333	Raceway (wire Channel	156
145	16	Nuts + Bolts + Washer (M8, M6, M5, M4, M3, Box)	1350	5	num	334	Nuts + Bolts + Washer (M8, M6, M5, M4, M3, Box)	157
145	17	Rivets (M3, M4, Box)	4000	2	num	335	Rivets (M3, M4, Box)	158
145	18	Heat shrinks (assortment)	1250	2	num	336	Heat shrinks (assortment)	159
145	19	Sheet metal (clamp fabrication)	1300	5	num	337	Sheet metal (clamp fabrication)	160
145	20	Soldering Iron Tips (Kada 852AD+)	185	5	num	338	Soldering Iron Tips (Kada 852AD+)	162
145	21	Solder Wire (480grams)	900	4	num	339	Solder Wire (480grams)	163
145	22	Syring/Dropper	65	10	num	340	Syring/Dropper	164
145	23	Spray paint	370	2	num	341	Spray paint	165
145	24	Processor (AMD Ryzen 5 5600X)	75000	1	num	342	Processor (AMD Ryzen 5 5600X)	166
145	25	Motherboard (ASUS Strix B550A)	50000	1	num	343	Motherboard (ASUS Strix B550A)	168
145	26	RAM Corsair Vengeance DDR4 16GB 3600	28000	1	num	344	RAM Corsair Vengeance DDR4 16GB 3600	169
145	27	Graphics Card Gigabyte GeForce GTX1650	90000	1	num	345	Graphics Card Gigabyte GeForce GTX1650	170
145	28	SSD Samsung 500GB 980 NVMe M2 SSD	20000	1	num	346	SSD Samsung 500GB 980 NVMe M2 SSD	171
145	29	1TB Seagate Barracuda HDD	13500	1	num	347	1TB Seagate Barracuda HDD	172
145	30	Cooler Corsair H60 Liquid CPU Cooler	20000	1	num	348	Cooler Corsair H60 Liquid CPU Cooler	173
145	31	Power Supply Corsair TX650 650W 80Plus	25000	1	num	349	Power Supply Corsair TX650 650W 80Plus	174
145	32	PC Case Cooler Master Masterbox Q500L	13500	1	num	350	PC Case Cooler Master Masterbox Q500L	175
145	33	Case fans (firebase)	7500	1	num	351	Case fans (firebase)	176
145	34	Keyboard & Mouse Logitech MK345	6000	1	num	352	Keyboard & Mouse Logitech MK345	177
145	35	Wi-Fi Card TPLink TL WN881ND	3800	1	num	353	Wi-Fi Card TPLink TL WN881ND	178
145	36	Monitor AOC 22B2HM 21.5"	38000	1	num	354	Monitor AOC 22B2HM 21.5"	179
145	37	Limit switch	900	2	num	355	Limit switch	180
145	38	Light gate/speed sensor	8000	4	num	356	Light gate/speed sensor	181
145	39	PLC Analog I/O Expansion Module	75000	1	num	357	PLC Analog I/O Expansion Module	182
145	40	Wiring (control wires 1.5mm 3 core & 1.5mm 2 core)	5000	4	num	358	Wiring (control wires 1.5mm 3 core & 1.5mm 2 core)	183
145	41	Mesh 30mm/40mm	3500	2	num	359	Mesh 30mm/40mm	184
145	42	Connectors (3 pin solenoid connector / MIL connectors)	900	11	num	360	Connectors (3 pin solenoid connector / MIL connectors)	187
145	43	I type Lugs	25	50	num	361	I type Lugs	188
145	44	Sheet metal plates	36000	1	num	362	Sheet metal plates	189
145	45	sheet metal machining	30000	1	num	363	sheet metal machining	190
145	46	braking assembly	17000	1	num	364	braking assembly	191
145	47	Safety rubber dampers	3000	6	num	365	Safety rubber dampers	194
145	48	safety straps	2500	25	num	366	safety straps	195
145	49	safety straps metal mount	2000	12	num	367	safety straps metal mount	198
146	1	Full scale platform machining	80000	1	num	368	Full scale platform machining	142
146	2	Small scale platform machining	42500	1	num	369	Small scale platform machining	143
146	3	Electric Screwdriver (Ingco)	28000	1	num	370	Electric Screwdriver (Ingco)	144
146	4	Tapping set (Ingco)	6500	1	num	371	Tapping set (Ingco)	145
146	5	UPS (Rating: 3.7KVA)	225000	1	num	372	UPS (Rating: 3.7KVA)	146
146	6	Battery (48V 200Amp)	28000	4	num	373	Battery (48V 200Amp)	147
185	2	Vernier Calliper	4000	1	num	697	Vernier Calliper	322
146	7	Square Channel (1"x1"x360mm)	2800	15	num	374	Square Channel (1"x1"x360mm)	148
146	8	Ac Wire	3200	1	num	375	Ac Wire	149
146	9	DC Wire	3200	1	num	376	DC Wire	150
146	10	Filment (PLA)	5500	3	num	377	Filment (PLA)	151
146	11	Connectors (GX-16)	200	15	num	378	Connectors (GX-16)	152
146	12	Connector (Terminal Blocks)	1500	2	num	379	Connector (Terminal Blocks)	153
146	13	PCB Boards (FR4, Double sided)	390	10	num	380	PCB Boards (FR4, Double sided)	154
146	14	Spiral Sleeve (10m , 8mm)	2250	1	num	381	Spiral Sleeve (10m , 8mm)	155
146	15	Raceway (wire Channel	1800	1	num	382	Raceway (wire Channel	156
146	16	Nuts + Bolts + Washer (M8, M6, M5, M4, M3, Box)	1500	5	num	383	Nuts + Bolts + Washer (M8, M6, M5, M4, M3, Box)	157
146	17	Rivets (M3, M4, Box)	4500	2	num	384	Rivets (M3, M4, Box)	158
146	18	Heat shrinks (assortment)	1500	2	num	385	Heat shrinks (assortment)	159
146	19	Sheet metal (clamp fabrication)	1500	5	num	386	Sheet metal (clamp fabrication)	160
146	20	Soldering Iron Tips (Kada 852AD+)	200	5	num	387	Soldering Iron Tips (Kada 852AD+)	162
146	21	Solder Wire (480grams)	1000	4	num	388	Solder Wire (480grams)	163
146	22	Syring/Dropper	70	10	num	389	Syring/Dropper	164
146	23	Spray paint	400	2	num	390	Spray paint	165
146	24	Processor (AMD Ryzen 5 5600X)	82000	1	num	391	Processor (AMD Ryzen 5 5600X)	166
146	25	Motherboard (ASUS Strix B550A)	55000	1	num	392	Motherboard (ASUS Strix B550A)	168
146	26	RAM Corsair Vengeance DDR4 16GB 3600	30000	1	num	393	RAM Corsair Vengeance DDR4 16GB 3600	169
146	27	Graphics Card Gigabyte GeForce GTX1650	95000	1	num	394	Graphics Card Gigabyte GeForce GTX1650	170
146	28	SSD Samsung 500GB 980 NVMe M2 SSD	25000	1	num	395	SSD Samsung 500GB 980 NVMe M2 SSD	171
146	29	1TB Seagate Barracuda HDD	15000	1	num	396	1TB Seagate Barracuda HDD	172
146	30	Cooler Corsair H60 Liquid CPU Cooler	25000	1	num	397	Cooler Corsair H60 Liquid CPU Cooler	173
146	31	Power Supply Corsair TX650 650W 80Plus	28000	1	num	398	Power Supply Corsair TX650 650W 80Plus	174
146	32	PC Case Cooler Master Masterbox Q500L	15000	1	num	399	PC Case Cooler Master Masterbox Q500L	175
146	33	Case fans (firebase)	8000	1	num	400	Case fans (firebase)	176
146	34	Keyboard & Mouse Logitech MK345	6500	1	num	401	Keyboard & Mouse Logitech MK345	177
146	35	Wi-Fi Card TPLink TL WN881ND	4250	1	num	402	Wi-Fi Card TPLink TL WN881ND	178
146	36	Monitor AOC 22B2HM 21.5"	40000	1	num	403	Monitor AOC 22B2HM 21.5"	179
146	37	Limit switch	1000	2	num	404	Limit switch	180
146	38	Light gate/speed sensor	8500	4	num	405	Light gate/speed sensor	181
146	39	PLC Analog I/O Expansion Module	80000	1	num	406	PLC Analog I/O Expansion Module	182
146	40	Wiring (control wires 1.5mm 3 core & 1.5mm 2 core)	5500	4	num	407	Wiring (control wires 1.5mm 3 core & 1.5mm 2 core)	183
146	41	Mesh 30mm/40mm	4000	2	num	408	Mesh 30mm/40mm	184
146	42	Connectors (3 pin solenoid connector / MIL connectors)	1000	11	num	409	Connectors (3 pin solenoid connector / MIL connectors)	187
146	43	I type Lugs	28	50	num	410	I type Lugs	188
146	44	Sheet metal plates	38500	1	num	411	Sheet metal plates	189
146	45	sheet metal machining	32500	1	num	412	sheet metal machining	190
146	46	braking assembly	20000	1	num	413	braking assembly	191
146	47	Safety rubber dampers	3500	6	num	414	Safety rubber dampers	194
146	48	safety straps	2600	25	num	415	safety straps	195
146	49	safety straps metal mount	2150	12	num	416	safety straps metal mount	198
147	1	MOTUS2-RUG-EK IMU Rugged Evaluation Kit	2591628	1	num	417	MOTUS2-RUG-EK IMU Rugged Evaluation Kit	199
148	1	MOTUS2-RUG-EK IMU Rugged Evaluation Kit	3035238	1	num	418	MOTUS2-RUG-EK IMU Rugged Evaluation Kit	199
149	1	MOTUS2-RUG-EK IMU Rugged Evaluation Kit	2953528	1	num	419	MOTUS2-RUG-EK IMU Rugged Evaluation Kit	199
150	1	Magnetic stand (VMB-70)	6125	1	num	420	Magnetic stand (VMB-70)	200
150	2	Pull Stud (BT-503)	850	10	num	421	Pull Stud (BT-503)	201
150	3	Dial Test Indicator (VDI-.8A)	8655	1	num	422	Dial Test Indicator (VDI-.8A)	202
150	4	Touch point sensor (VPS-20B)	9735	1	num	423	Touch point sensor (VPS-20B)	204
150	5	Face mill arbor for 63 mm(BT-152)	10470	1	num	424	Face mill arbor for 63 mm(BT-152)	205
150	6	Side lock end mill holder 20mm(BT-449)	11730	1	num	425	Side lock end mill holder 20mm(BT-449)	206
150	7	Clamping kit (CK-16)	20020	1	num	426	Clamping kit (CK-16)	207
150	8	HSS Drill set 25 Pcs set (HSD-13)	10315	2	num	427	HSS Drill set 25 Pcs set (HSD-13)	208
150	9	Drill chuck 3-16 MM (INT-16-BT40)	20900	1	num	428	Drill chuck 3-16 MM (INT-16-BT40)	209
150	10	Ball nose 6mm(TNF-060-10M)	23140	1	num	429	Ball nose 6mm(TNF-060-10M)	210
150	11	Tooling rack stand (VTT-30-40)	24025	1	num	430	Tooling rack stand (VTT-30-40)	211
150	12	Carbide ball nose 2mm (VBB-61-2.0)	5725	5	num	431	Carbide ball nose 2mm (VBB-61-2.0)	212
150	14	Carbide ball nose 3mm (VBB61-3.0)	6065	5	num	433	Carbide ball nose 3mm (VBB61-3.0)	214
150	13	Z Zero setter (HP-50EM)	30110	1	num	432	Z Zero setter (HP-50EM)	213
150	15	Carbide ball nose 4mm (VBB-61-4.0)	6065	5	num	434	Carbide ball nose 4mm (VBB-61-4.0)	215
150	16	Insert for finishing	1685	20	num	435	Insert for finishing	216
150	17	Ground parallel	35440	1	num	436	Ground parallel	217
150	18	End mill holder 12 mm	35585	1	num	437	End mill holder 12 mm	218
150	19	Flat end mill 16 mm	39605	1	num	438	Flat end mill 16 mm	219
150	20	Flat end mill 20 mm	41960	1	num	439	Flat end mill 20 mm	220
150	21	Insert (NFB060-SM)	4215	10	num	440	Insert (NFB060-SM)	221
150	22	Insert for aluminium	2385	20	num	441	Insert for aluminium	222
150	23	Carbide end 4 Flute mill set	48655	1	num	442	Carbide end 4 Flute mill set	223
150	24	Spring collect chuck set 3-20mm	49435	1	num	443	Spring collect chuck set 3-20mm	224
150	25	Insert for aluminium (3PKT 150508R-AL)	1940	30	num	444	Insert for aluminium (3PKT 150508R-AL)	225
150	26	Face mill cutter 63mm	87890	1	num	445	Face mill cutter 63mm	226
150	27	carbide end 2 flute mill set	88500	1	num	446	carbide end 2 flute mill set	227
150	28	Hydraulic vise	112930	1	num	447	Hydraulic vise	228
151	1	High pressure air compressor SCW150 150L/ MIN 300 bar 3KW Single phase 220V	637824	1	num	448	High pressure air compressor SCW150 150L/ MIN 300 bar 3KW Single phase 220V	229
151	2	Consumable/ spares: High pressure pipe, Air Filter, Activated carbon filter	27280	1	num	449	Consumable/ spares: High pressure pipe, Air Filter, Activated carbon filter	230
151	3	Maintenance parts: Activated carbon filter, air filter element, second stage valve plate O-ring, Drain valve spool, O-ring of second stage oil water separator, inlet o-ring, filter bucket o-ring, back pressure valve o-ring, belt	39300	1	num	450	Maintenance parts: Activated carbon filter, air filter element, second stage valve plate O-ring, Drain valve spool, O-ring of second stage oil water separator, inlet o-ring, filter bucket o-ring, back pressure valve o-ring, belt	231
151	4	1/2" Check valve 50 bar 90 C	38520	2	num	451	1/2" Check valve 50 bar 90 C	232
152	2	Consumable/ spares: High pressure pipe, Air Filter, Activated carbon filter	55000	1	num	455	Consumable/ spares: High pressure pipe, Air Filter, Activated carbon filter	230
151	6	Freight/Handling	191725	1	num	453	Freight/Handling	234
151	5	UFBK 1000 Horizontal	52360	2	num	452	UFBK 1000 Horizontal	233
152	6	Freight/Handling	0	1	num	459	Freight/Handling	234
152	3	Maintenance parts: Activated carbon filter, air filter element, second stage valve plate O-ring, Drain valve spool, O-ring of second stage oil water separator, inlet o-ring, filter bucket o-ring, back pressure valve o-ring, belt	48000	1	num	456	Maintenance parts: Activated carbon filter, air filter element, second stage valve plate O-ring, Drain valve spool, O-ring of second stage oil water separator, inlet o-ring, filter bucket o-ring, back pressure valve o-ring, belt	231
152	1	High pressure air compressor SCW150 150L/ MIN 300 bar 3KW Single phase 220V	935325	1	num	454	High pressure air compressor SCW150 150L/ MIN 300 bar 3KW Single phase 220V	229
152	4	1/2" Check valve 50 bar 90 C	48350	2	num	457	1/2" Check valve 50 bar 90 C	232
152	5	UFBK 1000 Horizontal	97500	2	num	458	UFBK 1000 Horizontal	233
153	6	Freight/Handling	0	1	num	465	Freight/Handling	234
153	1	High pressure air compressor SCW150 150L/ MIN 300 bar 3KW Single phase 220V	815000	1	num	460	High pressure air compressor SCW150 150L/ MIN 300 bar 3KW Single phase 220V	229
153	2	Consumable/ spares: High pressure pipe, Air Filter, Activated carbon filter	40000	1	num	461	Consumable/ spares: High pressure pipe, Air Filter, Activated carbon filter	230
153	3	Maintenance parts: Activated carbon filter, air filter element, second stage valve plate O-ring, Drain valve spool, O-ring of second stage oil water separator, inlet o-ring, filter bucket o-ring, back pressure valve o-ring, belt	45250	1	num	462	Maintenance parts: Activated carbon filter, air filter element, second stage valve plate O-ring, Drain valve spool, O-ring of second stage oil water separator, inlet o-ring, filter bucket o-ring, back pressure valve o-ring, belt	231
