57	office	5	\N	Regional Office	A-1150 Gulshan -e- Hadeed, Phase-2 Bin Qasim Karachi, Pakistan	\N
58	office	24	\N	Regional Office	Office No 02, NWC Fleet Club Lucky Star, Saddar Karachi	\N
63	office	31	\N	Regional Office	Plot No A352, Sector 6-A Mehran Town Korangi Industrial Area, Karachi	\N
65	office	163	\N	Regional Office	Office No 4, Mehmood Abad Apartments, Behind Post Office, Keamari, Karachi	\N
74	office	174	\N	Regional Office	Flat No D-201, Plot No ST-21/2 B, Emiro Estate Building Sector 14/B, North Karachi	\N
78	office	82	\N	Regional Office	N-7, Five Star, Luxury Appartment, Block-14 Gulshan-e-Iqbal, Karachi	\N
87	office	15	\N	Head Office	220-A Street No 39, F-11/3, Islamabad	\N
92	office	114	\N	\N	\N	\N
91	office	114	\N	Regional Office	6-A Mohammad Ali Housing Society, A Azia Hashim Tabba Street, Karachi	\N
93	office	115	\N	Regional Office	Suit No M-193, Jilani Centre, M A Jinnah Road, Karachi	\N
95	office	139	\N	\N	Off M-14, Rafi Star Building, Shara-e-Faisal, Star Gate Karachi	\N
98	office	179	\N	Regional Office	Z-2, University Teacher Colony, Northern Bypass, Multan	\N
52	office	94		Head Office	Jejja	Islamab
56	office	18	\N	Head Office	71-B, Garden Block, New Garden Town, Lahore,Pakistan	Lahore
44	office	93		Head Office	176, Sector 23, Korangi Industrial AreaKarachi-74900 , Karachi, Pakistan	Karachi
45	office	90		Head Office	101, 1st Floor, Plot#37c, Lane 4, Stadium Commercial, Phase 5 , DHA, Karachi	Karachi
46	office	92		Head Office	Ground Floor, Portion E, Plot# C-4/A S.I.T.E Karachi , Pakistan	Karachi & Islamab
47	office	23			Plot#273-1/3 , Korangi Creek , Karachi Pakistan	
48	office	95		Head Office	Signatics put ltd, 201 Aria Plaza, Main Double Road, E-11/2 Islamabad	Islamabad
49	office	91		Head Office	Office#409, Clifton Karachi, DC-1, Khayaban-e-Roomi , Block 05, Clifton , Karachi , Pakistan	Karachi
50	office	8		Head Office	12/A Sector 26 Korangi Industrial Area karachi 74900 Pakistan	Karachi
51	office	17		Head Office	Faran Building C/5,201, 10th  Stree tKhayaban-e Shams Heer Commercial Area, Phase-V , DHA , Karachi	Karachi
97	office	179	\N	Head Office	Near Ayesha Masjid, Wara Sitar, Harbanspura Lahore	\N
106	office	66	\N	Regional Office	Plot No L60 Ibrahim Garden, Quaidabad, Malir Karachi	\N
105	office	135	\N	Regional Office	Suit No A-38 Salman Tower, Malir City Karachi	\N
104	office	152	\N	Regional Office	Shop No M-14, Plot No 248/1, Deh Saforan Mina Avenue Airport, Karachi, Malir	\N
68	office	35	\N	Head Office	Plaza 88, 5th Floor, Capital Business Avenue, Crimson Road, Street No 27-A Sector-, GT Road Islamabad	\N
102	office	140	\N	Regional Office	Office No M-14, Mateen Galaxy Mall, Rashid Minhas Road, Gulshan-e-Iqbal Karachi	\N
101	office	200	\N	Regional Office	Villa A-283, PIA Housing, Gulistan-e-Jauhar, Karachi	\N
103	office	140	\N	Head Office	Main Khushab Road Sargodha	\N
53	office	96		Head Office	 406, 4th Floor , Marine Pride , BC-2 , Block-7, Clifton Khayaban-e-Iqbal Karachi, 75500 Pakistan	Karachi
55	office	97	Main Office	Head Office	5th Floor, Amir Trade Center, Sindhi Muslim Cooperative Housing Society Block 2 PECHS, Karachi, Sindh	Karachi
61	office	162	\N	Regional Office	Suit No 302, Ahmed Arcade, BC-3 Block 5 Clifton, Karachi	\N
59	office	24	\N	Head Office	SF Unit 103, SITE Area, Karachi, Pakistan	\N
60	office	190	\N	Regional Office	Shop No 02, Farhan Dream Line, Block 16, Gulistan-e- Jauhar, Karachi, Pakistan	\N
62	office	185	\N	Regional Office	G-34 Naz Plaza, M A Jinnah Road, Karachi	\N
66	office	50	\N	Head Office	Office No 304, 3rd Floor, Azeem Mansion, Fazal-ul-Haque Road, Blue Area, Islamabad, Pakistan	\N
67	office	50	\N	Regional Office	\N	\N
