11-20-04-7131	\N	\N	2021-01-05	No
13-20-05-0991	\N	\N	\N	Yes
13-20-05-3473	\N	\N	\N	No
13-20-05-2229	\N	\N	2024-11-14	No
14-20-07-0939	\N	\N	\N	No
11-20-02-2509	\N	\N	2030-07-09	No
14-20-08-4304	FP 1291	\N	2020-12-31	No
14-20-08-3922	\N	\N	\N	No
14-20-08-6716	\N	\N	2024-09-25	No
14-20-07-0088	\N	\N	\N	No
14-20-07-8631	\N	\N	\N	No
15-20-07-3967	\N	\N	2021-01-31	No
17-19-09-6165	\N	\N	\N	No
17-20-02-0563	\N	\N	\N	No
18-20-06-9259	\N	\N	\N	No
11-19-09-2301	\N	\N	2029-10-12	No
11-19-09-1097	\N	\N	2026-01-01	No
14-20-08-0601	\N	\N	\N	No
14-20-08-4527	\N	\N	\N	No
13-20-05-1661	\N	\N	\N	Yes
12-20-01-5941	\N	\N	\N	No
14-20-08-4443	\N	\N	\N	No
18-20-06-3707	\N	\N	\N	No
12-20-08-9305	91/20	2020-01-01	2020-12-31	Yes
12-20-08-3519	FP 2034	\N	2020-12-31	Yes
19-20-08-8451	FP 2535	2020-10-05	2020-12-31	Under process
12-20-08-6687	108/21	2021-01-01	2021-12-31	Yes
12-20-08-5743	\N	\N	\N	Yes
16-20-09-6179	FP 2966	2020-10-21	2021-06-30	Under process
16-20-09-8425	FP-2969	2020-10-28	2021-06-30	Under process
16-20-09-3410	FP 2968	2020-10-20	2021-06-30	Yes
16-20-09-3657	FP 2967	2020-10-22	2021-06-30	No
13-20-05-1643	\N	2021-01-14	\N	Yes
14-21-01-8590	FP 3539	2021-01-05	2021-06-30	Yes
14-20-12-7912	FP-3524	2020-12-20	2021-06-30	Yes
14-20-08-4355	FP 583	\N	2021-06-30	Yes
14-21-02-0970	FP3861	\N	2021-06-30	Yes
14-20-07-6565	FP1029	\N	2021-06-30	Yes
14-21-09-7688	FP 4806	2021-10-15	2021-12-31	Yes
14-21-05-8099	FP 4307	2021-05-10	2021-12-31	Yes
14-20-08-0303	FP 579	2021-01-01	2021-12-31	Yes
14-21-06-3669	FP 565	2021-01-01	2021-12-31	Yes
14-20-07-1601	FP1026	2021-01-01	2021-12-31	Yes
14-21-05-1233	FP 4370	2021-04-10	2021-12-31	Yes
14-21-05-5521	FP-4319	2021-05-10	2021-12-31	Yes
14-21-01-3089	FP 3527	2021-01-10	2021-12-31	Yes
14-20-08-0440	FP 564	2021-01-01	2021-12-31	Yes
14-21-07-1905	FP 3544	2021-07-10	2021-12-31	Yes
14-21-01-3943	FP 3525	2021-01-25	2021-12-31	Yes
14-21-05-3061	FP 4616	2021-05-15	2021-12-31	Yes
14-21-09-8139	FP 4792	2021-09-25	2021-12-31	Yes
14-20-06-9965	FP 570	2021-01-01	2021-12-31	Yes
14-21-08-3525	FP 4676	2021-08-25	2021-12-31	Yes
14-21-05-5448	FP-574	2021-01-01	2021-12-31	Yes
14-21-07-6778	N/A	\N	\N	No
11-19-08-9773	0045353	2019-08-12	2027-03-21	Yes
11-20-07-4329	FP-2033	2021-07-01	2021-12-31	Yes
11-20-10-8913	FP 2910	2021-07-01	2021-12-31	Yes
11-20-07-8177	o-24643	2014-07-24	2024-07-23	Yes
14-21-08-7587	N/A	\N	\N	Yes
14-21-12-7909	FP 5018	2021-12-01	2022-06-30	Yes
14-21-11-1231	\N	\N	\N	Yes
21-20-02-4593	\N	\N	\N	Yes
14-22-02-2332	\N	\N	\N	Yes
14-22-02-9906	FP 5238	2022-02-09	2022-06-30	Yes
14-20-08-8545	FP 1290	2022-07-01	2022-12-31	Yes
14-20-09-9553	FP 2226	2022-07-01	2022-12-31	Yes
14-21-05-0575	FP-4279	2022-07-01	2022-12-31	Yes
14-21-12-8653	FP 5013	2022-07-01	2022-12-31	Yes
14-21-11-7359	FP 5123	2022-07-01	2022-12-31	Yes
14-20-08-6261	FP577	2022-07-01	2022-12-31	Yes
14-22-01-5685	FP 5121	2022-07-01	2022-12-31	Yes
14-20-08-7029	FP576	2022-07-01	2022-12-31	Yes
14-20-11-0041	93/21	2022-07-01	2022-12-31	Yes
14-22-04-0600	FP 5364	2022-07-01	2022-12-31	Yes
14-22-08-3219	Nil	2022-08-02	2022-12-31	Yes
14-22-09-6968	FP5713	2022-09-26	2022-12-31	Yes
14-22-09-4823	FP5714	2022-09-26	2022-12-31	Yes
13-22-09-6267	FP 050	2022-12-02	2023-06-30	Yes
13-20-08-3103	FP 2162	\N	2021-06-30	No
13-20-05-9453	FP 668	\N	2022-12-31	Yes
14-21-05-1391	Nil	2023-01-01	2023-06-30	Yes
14-20-08-7389	FP-189	2023-01-01	2023-06-30	Yes
14-21-09-9933	FP-199	2023-01-01	2023-06-30	Yes
