Metgraph	200001	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Completed	\N	\N	\N	\N	200000	t	MET
Indigenous Development of Prototype ROV for UW Operations Onboard MCMVs	300001	2020-07-10	128	Design and Indigenously Develop Prototype ROV for conduct of UW Operations onboard MCMVs.	DNDP (Equip)	2019-08-01	2019-09-03	2019-08-15	60000000	2020-07-10	60000000	2021-05-09	60000000	Completed	2021-05-09	1.   Design and development work is in progress on power source for propulsion thrusters of prototype ROV in accordance with the performance/ speed requirements as outlined in URD.\r\n\r\n2.   As per requirements of project milestone-3, the Hardware Purchase Order (HPO) for the WO-2 has been submitted through M/s MTSS for release of project funds.\r\n\r\n3.   Procurement of material (steel, ready mix etc.) for development of the ROV test tank has been initiated.			300000	t	ROV
Indigenous development of Eagle Eye Vertical Take-off & Landing UAV	350011	2021-04-15	152	Indigenous development of Eagle Eye Vertical Take-off & Landing (VTOL) UAV	HQ COMCOAST	2020-10-01	2020-11-10	2020-11-26	80000000	2021-02-24	80000000	2022-08-15	\N	Funds awaited	\N				350000	t	VTOL
High Speed Target Drone	350005	2020-07-12	131	\N	DNO	2019-11-01	2019-12-01	2020-01-01	83000000	2020-02-12	70000000	2021-07-31	70000000	Completed	2021-07-30	\r\n1.   Submission of Hardware Purchase Order. Hardware purchase order for experimental components for Magnetron Combination against Milestone M2 has been submitted. <Point recommended to be dropped.>\r\n\r\n2.   Design / Development Activities.\r\n\r\na.   MARLIN-01 UAV.  Airframe manufacturing, assembly, avionics/ control / data link integration is completed.  Operational tests of airframe, propulsion, data link and control system are also completed. Point recommended to be dropped \r\n\r\nb.   MARLIN-01 Backup. Manufacturing of an additional MARLIN-01 (as backup), is in the final stages. Machining of structural parts and curing of airframe skin are completed. Assembly of airframe and avionics / control integration and painting work are also completed. In lines with the avionics system testing, a dedicated cooling system has been designed and installed. Moreover, in-house Ingress Protection (IP) testing of avionics box is successfully completed.\r\n \r\nc.   UAV Launcher. Design and manufacturing of MARLIN-01 Launcher / pneumatic circuit testing bench are complete. Design and assembly of carriage deceleration / braking system is also completed. The designed system has been successfully tested as well. To further improve speed performance, the pneumatic actuator has been replaced with a larger stroke actuator, the pulley ratio has been reduced and one more inlet is added to the accumulator vessel. \r\n\r\nd.   UAV Launcher Testing.   Initial testing of launcher with integrated control system and pneumatic circuit at low, medium pressure is completed. In-house testing of launcher at SPF are also completed successfully.  Field testing for dead weight and dummy UAV launches are successfully conducted at PN GHARO facility.  The criteria of projectile launch speed, aerial time and ground range are successfully met.\r\n\r\ne.   Jet Engine Testing. Bench testing of P220 Turbo jet engine (for MARLIN-01) has been conducted. Intake duct design has been improved and manufactured. Bench testing of engine with improved intake is also conducted and results are within acceptable margins. \r\n\r\nf.   Backup P220 Engine. Maiden testing of backup P220 engine (MARLIN-01 backup) is also successfully completed.\r\n\r\ng.   Ground Testing of Marlin-01 UAVs. Extensive ground testing activities of Marlin-01 UAVs are considered essential prior to the flight trials. In this regard: airframe load tests, pitch/roll performance testing of propulsion system, avionics endurance testing, data-link range tests, parachute release mechanism tests, control surface load tests, carriage-lock thrust testing are planned. Airframe load tests, pitch/roll performance testing of propulsion system and avionics endurance tests are successfully completed. Data link range tests and parachute release mechanism tests are partly completed. During control surface load testing, problem related to deformation of control linkages and servo failure is observed. Control linkage mechanism has been upgraded to increase stiffness and rigidity. Root cause analysis of servo failure is being carried out and results will be used to further ruggedize avionics systems. Carriage-lock thrust testing of the UAV will be conducted at PN GHARO facility in Mar 22.\r\n\r\nh.   Field Testing of Marlin-01 UAVs. Field testing / launch trials of Marlin-01 UAV has been planned at PN GHARO facility in Mar 22. For this purpose, leakage testing of launcher, site survey and coordination meeting between NRDI and NSTOC reps regarding recovery of HSTD from creek area was held on 24-25 Feb 22, vide reference PN/NRDI/ R AND D Wing/03/12462317 dated 18 Feb 22. \r\n\r\nj.   Design of MARLIN-02 (full-scale HSTD). The design has been revised based on the learnings from design / manufacturing activities of MARLIN-01. Detailed design of airframe components and integration with launch / recovery systems are completed. CAD integration of avionics systems, data link, control mechanism and modifications pertaining to propulsion system are under progress. Pattern machining activities have been initiated for the completed airframe components. Pattern finishing activities and mold fabrication are also completed. Test fabrication of airframe parts in the finished molds is under progress for quality assessment and assembly tests. Subsequently, final airframe parts are being manufactured.\r\n\r\nk.   MARLIN-02 Launcher. MARLIN-02 launcher is being re-designed based on the learning from design / development of MARLIN-01 Launcher. In this regard, considerations are being given to weight reduction, ease of assembly and transportation. In order to keep the development, cost effective and reduce develop time imperative consideration is given to re-use of parts / sub-assemblies manufactured for the MARLIN-01 launcher. Export of manufacturing drawings and market surveys for COTs items are under progress. \r\n\r\nl.   Material Testing. Destructive Testing (DT) of composite material samples is being carried out using PNEC and PCSIR equipment. Tensile tests and first phase of bending tests are completed. Manufacturing process is improved in lines with the test results. Bending tests of improved samples are also completed. Testing of different composite coring materials are tested and coring scheme for MARLIN-02 has been finalized. \r\n\r\nm.   Wind Tunnel Testing. Computer Aided Design (CAD) model for development of testing model has been shared, as required by M/s DESTO.  Estimated of quotation & timeline of 190 working days is received from the firm. M/s DESTO has been requested to reduce timeline. Foreign WTT facilities are also being explored for the pertinent testing. \r\n\r\n3.   Hardware Procurement Status.\r\n\r\na.   Order is already placed for procurement of JetCat P-1000 (Germany based 1100N) turbo jet engine. Engine is ready at OEM facility while export license is being processed for shipment to Pakistan. EDD for the engine is Feb 22.\r\n\r\nb.   Veronte flight controller (of M/s Embention) excluding air antenna is received at INTELL NRDI. Individual components have been tested and radio link is established. Firmware update has also been received for tracker. Currently, development of controls for HSTD are being studied and range testing activates are being planned.\r\n\r\nc.   Material for fabrication of MARLIN-02 UAV and Launcher are being purchased/ procured as per manufacturing requirements.\r\n\r\nd.   Orders are placed for raw material & COTs items for MARLIN-02 UAV and Launcher. The procurement is under progress.\r\n?			350000	t	HSTD
FM90 (N) SAM Frequency  Synthesizer Unit	350017	\N	151	Frequency  Synthesizer Unit	DSMR WE	2020-12-16	2020-12-31	2021-01-14	174600000	\N	\N	2022-08-31	\N	Approval awaited	\N	Project proposal under process at NHQ			350000	t	FSU
Laser Based Directed Energy Weapon	350008	\N	133	\N	ACNS (NRD) / ACNS (DP)	2001-01-01	2001-01-01	2001-01-01	370000000	2020-04-17	370000000	2001-01-01	20000000	Funds awaited	\N	Draft work order was requested to send NHQ by 28 Sep 20 vide letter PN/NRD DIV/R AND D DTE/03/2499303 dated 21 Sep 20 against funds approved for FY 2020-21.			350000	t	LDEW
EAGLE HUNT-01	350009	2020-06-01	136	\N	NCW(TECH)	2019-09-01	2019-10-01	2019-10-30	82000000	2020-02-11	82000000	2021-11-30	\N	Completed	2022-05-30	EH-01 Warranty. All deliverables and technical milestones of EH-01 have been successfully completed.			350000	t	EH1
Indigenuous development of NIU for PNS/M HASHMAT	200006	2022-01-19	156	Indigenuous development of NIU for PNS/M HASHMAT	DSMM	2022-01-19	2022-01-19	2021-03-31	16000000	2022-01-19	16000000	2022-07-19	16000000	Work in progress	2023-01-23	1.   Milestones 1 and 2 have been completed and accepted. \r\n\r\n2.   Milestone 3 (installation of non-rugged protptype) is also complete, and trials have been completed and accepted. \r\n\r\n3.   Final installations of rugged system has been completed on 28 Nov 22, and harbour trials were conducted successfully.\r\n\r\n4.   SATs completed in Jan 23. Project completed. System under warranty.			200000	t	NIU-HS
Eagle Hunt - UAVs GPS jamming and spoofing	350002	2018-08-01	125	\N	NCW(Tech)	2001-01-01	2001-01-01	2001-01-01	250000000	2018-02-01	250000000	2020-10-31	\N	Completed	2022-03-30	The 3D RADAR integration with the spoofing system activity is concluded.			350000	t	EH
10 Km UAV Jammer	350016	\N	132		DNCW (Tech)	2001-01-01	2001-01-01	2020-03-17	75000000	2020-04-17	75000000	2020-07-31	75000000	Funds awaited	\N	Draft work order was requested to send to NHQ by 28 Sep 20 vide letter PN/NRD DIV/R AND D DTE/03/2499303 dated 21 Sep 20 against funds approved for FY 2020-21.			350000	t	10KM
