17	PCBs & Electronics
40	Defence supplier
93	Manufacturing
93	Systems
90	UAVs
92	Electronics
92	Embedded System
92	Software
23	UAVs
95	Communications Systems
95	Elactronics
95	Embedded
91	Software
91	System
8	Manufacturing
94	RF Equipments
96	UAVs
97	Augmented Reality
97	Software
185	Geneal Order Supplier
174	Geneal Order Supplier
177	Importer & Distributer Services & General Order Supplier
178	Manufacturing
197	Provision of Transport Facility
34	Defence supplier
194	Engineers, Contractors, Suppliers, Constructors & Transport
167	Reconditioning of Mechanical
21	PCBs & Electronics
66	Elactronics
52	Manufacturing
101	Engineering Solution Provider
20	Deals in Furniture, Fixture Electronics & General Order Suppliers
115	Engineer & Builders
123	Engineer & Builders
139	Manufacturing
110	Engineer & Builders
179	Specilization in Electrical & Mechanical
18	Appliances, Electrical & Electronic Manufacturing
31	Geneal Order Supplier
47	Deals in Transport Facility
58	Infrastructure and Engineering Services
172	Delas in Electronics Items and General Order Suppliers
200	Deals in Electrical and Electronics
171	General Order Supplier
82	Geneal Order Supplier
192	Power Equipment Distributor
165	Deals in Electronics Iems
146	Defence supplier
169	Manufacturing
140	Construction Company
35	Deals in Electrical and Electronics
152	Geneal Order Supplier
135	Deals in Furniture, Fixture Electronics & General Order Suppliers
12	PCBs & Electronics
193	Communications Systems
24	Appliances, Electrical & Electronic Manufacturing
33	Elactronics
164	General Order Supplier
196	All Types of Electronic Accessories & Computer, Laptop, Fiber Optics Network, CCTV & General Order Suppliers
191	Deals in Electrical & Mechanical
98	Deals in Construction & Manufacturing
89	Deals in Steel & Iron Works
15	PCBs & Electronics
147	Electronicsn & It Equipment
143	Systems
54	Deals in Electrical and Electronics
88	Deals in Scientific & Analytical Equipments
5	Geneal Order Supplier
114	Construction Company
162	Systems
100	Geneal Order Supplier
190	Geneal Order Supplier
61	Manufacturers and General Order Suppliers
163	Government & Private Contractor
163	Deals in Civil, Electrical, Mechanical, Marine, IT and General Works
50	RF Equipments
79	Mechanical, Electrical, Civil, Wooden & Industrial Paint Works
108	Air Control Technology
173	Importers, Stockiest & General Order Suppliers
2	Geneal Order Supplier & Technical Supporter
13	Importer & Distributer Services & General Order Supplier
62	Power Equipment Distributor
55	Importer & Distributer Services & General Order Supplier
71	Geneal Order Supplier
59	Geneal Order Supplier
212	Geneal Order Supplier
215	Manufacturing
\.


